time	V(c1)	V(n001)	V(in)	V(s)	V(c2)	V(n002)	Ic(Q1)	Ib(Q1)	Ie(Q1)	Ic(Q2)	Ib(Q2)	Ie(Q2)	I(D1)	I(L1)	I(L2)	I(R1)	I(R2)	I(V1)	I(V2)
3.070231072000482e-02	5.000000e+00	5.003209e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002619e-11	5.012287e-12	-5.003293e-12	-1.050019e-14	5.013027e-12	-5.002843e-12	-1.050076e-14	-6.578319e-14	5.013735e-12	4.929362e-12	-5.003208e-12	-5.002619e-12	1.000614e-11	-9.967507e-12
3.172631072000584e-02	5.000000e+00	5.003451e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.001143e-11	5.012287e-12	-5.003595e-12	-1.050000e-14	5.013767e-12	-5.002173e-12	-1.050041e-14	-9.867479e-14	5.014071e-12	4.889001e-12	-5.003451e-12	-5.001143e-12	1.000577e-11	-9.960852e-12
3.275031072000686e-02	5.000000e+00	5.003093e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003433e-11	5.013027e-12	-5.003036e-12	-1.050044e-14	5.013767e-12	-5.003623e-12	-1.050125e-14	3.289160e-14	5.014575e-12	4.991316e-12	-5.003093e-12	-5.003433e-12	1.000666e-11	-9.991371e-12
3.377431072000789e-02	5.000000e+00	5.003604e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.005073e-11	5.014507e-12	-5.003661e-12	-1.049963e-14	5.014507e-12	-5.004455e-12	-1.050051e-14	3.289160e-14	5.014705e-12	5.037042e-12	-5.003604e-12	-5.005073e-12	1.000812e-11	-9.995835e-12
3.479831072000891e-02	5.000000e+00	5.003264e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.989677e-11	5.014507e-12	-5.003203e-12	-1.050069e-14	4.998964e-12	-4.988444e-12	-1.049847e-14	-6.907236e-13	5.014736e-12	4.309906e-12	-5.003264e-12	-4.989677e-12	9.991646e-12	-1.006664e-11
3.582231072000994e-02	5.000000e+00	5.003016e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.003068e-11	5.012287e-12	-5.003027e-12	-1.049987e-14	5.013767e-12	-5.003381e-12	-1.050369e-14	-3.144530e-25	5.014076e-12	5.011853e-12	-5.003016e-12	-5.003068e-12	1.000641e-11	-1.002338e-11
3.684631072001096e-02	5.000000e+00	5.003625e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.002842e-11	5.014507e-12	-5.003687e-12	-1.050017e-14	5.013767e-12	-5.003067e-12	-1.050130e-14	-1.594549e-25	5.014712e-12	4.972466e-12	-5.003624e-12	-5.002842e-12	1.000675e-11	-1.000041e-11
3.787031072001198e-02	5.000000e+00	5.003103e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.999768e-11	5.013027e-12	-5.003277e-12	-1.050034e-14	5.008586e-12	-4.998593e-12	-1.049929e-14	-2.302412e-13	5.013742e-12	4.739381e-12	-5.003103e-12	-4.999768e-12	1.000187e-11	-9.989384e-12
3.889431072001301e-02	5.000000e+00	5.003370e-11	0.000000e+00	5.000000e+00	5.000000e+00	4.993337e-11	5.012287e-12	-5.003457e-12	-1.050041e-14	5.004885e-12	-4.994666e-12	-1.049879e-14	-4.604823e-13	5.013897e-12	4.494362e-12	-5.003370e-12	-4.993337e-12	9.998123e-12	-9.940178e-12
3.991831072001403e-02	5.000000e+00	5.003361e-11	0.000000e+00	5.000000e+00	5.000000e+00	5.004678e-11	5.012287e-12	-5.003365e-12	-1.050004e-14	5.015988e-12	-5.004270e-12	-1.049827e-14	9.867479e-14	5.013839e-12	5.064688e-12	-5.003361e-12	-5.004679e-12	1.000763e-11	-1.003198e-11
